profile,policy,paper_err,paper_red,nom_err,nom_red,meas_err,meas_red,meas_carbon_mg
camel,always_low,13.4,64.8,13.426699999999986,64.78752927628332,13.436599999999986,59.26659504705156,12770.145853801376
camel,always_medium,4.5,33.6,4.475199999999994,33.843533172137,4.481200000000002,25.87348301689385,23239.06961870693
camel,always_high,nan,nan,0.0,0.0,0.0,0.0,31350.548446790297
camel,naive,9.7,51.3,9.7294439592051,51.02737722931403,9.737465519898553,45.005006208751375,17241.232171834716
camel,carbonstat_e=1,1.0,13.3,0.9975420250700741,9.292278953338784,0.9988794518108719,7.10397523995473,29123.413247540302
camel,carbonstat_e=2,2.0,19.7,1.998091324022879,17.178294553834295,2.0006807449182906,13.257961120676963,27194.104922595845
camel,carbonstat_e=4,4.0,30.9,3.994517836716017,31.132076387242947,3.9996107771231757,24.134320018631485,23784.306757045826
camel,carbonstat_e=8,8.0,47.5,7.993203323949193,47.91560508714143,8.000729287409388,41.06575037990121,18476.210478901397
stable300,always_low,13.4,62.9,13.426699999999999,64.78752927628328,13.436600000000007,59.266595047051474,6887.470353740278
stable300,always_medium,4.5,29.2,4.475200000000002,33.84353317213707,4.4811999999999985,25.873483016893683,12533.796002001392
stable300,always_high,nan,nan,0.0,0.0,0.0,0.0,16908.653626418043
stable300,naive,1.4,14.4,1.4109639784852854,16.374090467117398,1.4127161921965736,12.851573415272933,14735.62559208472
stable300,carbonstat_e=1,1.0,8.0,0.9981940608734421,9.206552750671303,0.9995323618131183,7.038437299883926,15718.54864266806
stable300,carbonstat_e=2,2.0,15.0,1.9926902737973242,17.378762333592768,1.9953079765399278,13.358478251559925,14649.91480910139
stable300,carbonstat_e=4,4.0,27.3,3.9939120311025413,31.332853519144866,3.998916514106725,24.399825491878634,12782.971648545832
stable300,carbonstat_e=8,8.0,44.7,7.996247622438761,48.103791237855084,8.003767114214414,41.276284671089925,9929.389621529162
stable500,always_low,13.4,63.0,13.426700000000004,64.78752927628331,13.436600000000004,59.266595047051496,11469.566008493059
stable500,always_medium,4.5,29.5,4.475200000000002,33.84353317213704,4.481199999999997,25.87348301689375,20872.27867396528
stable500,always_high,nan,nan,0.0,0.0,0.0,0.0,28157.64118354861
stable500,naive,4.6,30.6,4.6280863952655,34.89462374825555,4.634153004989177,27.007763968973652,20552.891913465282
stable500,carbonstat_e=1,1.0,8.0,0.9988398772536548,9.142116845174398,1.0001790440536915,6.989175856107643,26189.65412429861
stable500,carbonstat_e=2,2.0,15.2,1.9930471366144562,17.369820554389147,1.9956656198899176,13.352893249185026,24397.781414820805
stable500,carbonstat_e=4,4.0,27.5,3.9935014995372677,31.2548558128279,3.9985496809569203,24.286069005235877,21319.25701546528
stable500,carbonstat_e=8,8.0,44.9,7.994129252458059,48.048597482608734,8.001633538142528,41.23066953988914,16548.057196931954
